30
mcdonalds,burger,Mc Double Cheesy,Sear-sizzled 100% Beef with Double layer of Melted cheese.,565,
mcdonalds,burger,Mc Royale Burger,Made with Beef patty Cheese slice Lettuce Tomato and Pickles.,735,
mcdonalds,burger,Big Mac,Double layer of sear-sizzled Beef Cheese diced onions icebergs and crunch of Pickles,675,
mcdonalds,burger,Mega Mac,Made with 4-Layers of sear-sizzled Beef patty with sauces and Meltd Cheese and crunch of Pickles.,1025,
mcdonalds,wrap,Mc Wrap,BBQ Wrap with perfectly cooked Tortilla Chipotle and Cheesy Mayo.,405,
mcdonalds,wrap,Mc Arabia,Two grilled Chicken Patties Arabic bread lettuce with a unique and unforgettable taste.,785,
mcdonalds,nuggets,6 pcs Mc Nuggets,Whichever way you enjoy your favourite McNuggets. Made with juicy white meat.,585,
mcdonalds,nuggets,20 pcs Mc Nuggets,Made with juicy white meat that makes them hard to resist more quantity.,1235,
kfc,chicken,Chicken Meal 1,Kentucky fried Chicken providess the best the most crispy fried Chicken.,370,
kfc,chicken,Hot Shots 9pcs,Hot and Crispy fried chicken ready to beat th hunger.,450,
kfc,wings,Hot Wings 10pcs,Hungry? 10 pcs of crispy fried Wing with a regular drink and sauces.,440,
kfc,wings,Saucy Wings,10pcs of Crispy fried wings dipped in 5 sauces ready to beat the appitite.,670,
kfc,burger,Krunch Burger,Crunchy Chicken fillet spicy mayo lettuce between a sesame seed bun.,560,
kfc,burger,Mighty Zinger,Signature Zinger but bigger! Diuble zinger fillet with a combination of spicy and plain mayo and cheese.,850,
kfc,deal,Xtreme Duo Box,The irresistible of 2 signature Zinger Burgers + 2 hot wings and a Large bucket of fries.,1370,
kfc,Meal,Wow Box,1 Zinger and 1 hot and crispy fried Chicken + 1 regular fries + 1 drink.,925,
dominos,pizza,One & Only,Small hand tossed Pizza with 345ml Drink.,399,
dominos,pizza,The Hungry One,8 inch Pizza with 345ml Drink.,599,
dominos,pizza,Too Good for Two,Medium Pizza with 2 x 345ml Drinks.,1199,
dominos,pizza,The Show Stopper,Large Pizza with 1.5 liter Drink.,1499,
dominos,pizza,Fix for Four,2 Medium Pizzas with 1.5 liter Drink.,2199,
dominos,pizza,Fix for Six,2 Large Pizzas with 1.5 liter Drink.,2599,
dominos,deal,The Game Changer,Nothing like anything before. Large Premium Pizza with 1.5 liter Drink.,2199,
howdy,steak,Despirado,Jalapeno Sauce Chicken Steak,1099,
howdy,steak,Texan,Mushroom Creamy White steak,1099,
howdy,wings,Kick of Chick (Grilled),Grilled Buffalo Wings.,559,
howdy,wings,Kick of Chick (Fried),Fried Buffalo Wings.,559,
howdy,desert,Chocaine,Choclate Nautella Cake,1299,
howdy,desert,Tres Amigos Lotus,3 Milk Cake Louts.,1699,
howdy,desert,Oreo Shake,Sweet cold and delicious Oreo shake. ,399,
